x, y, z, u

(4.2465,1.51215), (4.07036,3.23168), (5.96702,4.77724), (3.91756,6.3431), (4.21215,8.96989), (2.46683,9.4003), (1.86682,10.8302), 

(4.24791,1.51215), (4.56151,3.13115), (6.4058,5.02057), (4.25969,5.97727), (4.38284,9.15384), (2.85097,9.07925), (1.86744,10.8302), 

(4.24932,1.51215), (4.56302,3.13115), (6.46514,5.51729), (4.66717,5.68552), (4.84366,8.9564), (2.85191,9.07925), (1.86806,10.8302), 

(4.63137,1.83636), (4.73014,3.60293), (6.37451,6.0086), (4.76808,6.17555), (5.32156,8.80425), (3.35149,9.11623), (2.02971,10.3568), 

(4.90445,1.41652), (5.1427,3.31818), (6.66656,5.60124), (5.24421,6.33304), (5.32332,8.80425), (3.73383,9.43975), (2.03038,10.3568), 

(4.90608,1.41652), (5.39032,2.88283), (6.50471,5.4126), (5.24595,6.33304), (5.72336,9.10654), (4.09356,9.7883), (2.03106,10.3568), 

(4.90771,1.41652), (5.39211,2.88283), (6.98105,5.5712), (5.6976,6.55117), (6.20445,9.24931), (4.09492,9.7883), (2.03173,10.3568), 

(5.34332,1.66484), (5.80608,3.16587), (7.32467,5.2058), (5.69949,6.55117), (6.67383,9.07152), (4.59627,9.78718), (2.53233,10.3483), 

(5.3451,1.66484), (6.04969,3.10192), (7.55932,5.29838), (5.85145,6.75112), (6.67605,9.07152), (4.95038,9.43266), (3.02257,10.2459), 

(5.34687,1.66484), (6.0517,3.10192), (7.52155,5.54511), (6.16984,6.364), (7.00327,8.69156), (4.95202,9.43266), (3.51672,10.1633), 

(5.34865,1.66484), (6.44538,3.41272), (7.8687,5.18288), (6.12393,5.86631), (7.50538,8.70592), (5.39618,9.66544), (3.51789,10.1633), 

(5.53277,1.83586), (6.44752,3.41272), (8.13334,4.75704), (6.608,5.99913), (7.97718,8.53342), (5.6387,9.22721), (3.51905,10.1633), 

(5.53461,1.83586), (6.59073,2.93303), (8.2176,4.26374), (6.69402,5.5062), (8.46015,8.39455), (5.64058,9.22721), (3.52022,10.1633), 

(5.38526,1.63675), (6.9899,3.23701), (8.22033,4.26374), (6.94408,5.07195), (8.95845,8.46157), (6.00731,9.56908), (4.01656,10.094), 

(5.68665,2.03705), (6.99222,3.23701), (8.72093,4.30977), (6.94639,5.07195), (9.44968,8.56927), (6.48763,9.7147), (4.50987,10.0048), 

(6.08313,1.72997), (7.01382,2.98776), (9.12902,4.60272), (7.43402,5.19221), (9.45282,8.56927), (6.96245,9.55164), (4.5753,9.76308), 

(6.49835,1.44844), (7.01615,2.98776), (9.61546,4.73045), (7.43649,5.19221), (9.88112,8.8324), (6.71705,9.5179), (5.01092,9.51497), 

(6.26031,1.37914), (7.44243,2.72268), (9.67267,5.22752), (7.9103,5.02538), (9.8844,8.8324), (7.10189,9.83978), (4.9358,9.27705), 

(6.26238,1.37914), (7.4449,2.72268), (9.67588,5.22752), (7.91293,5.02538), (10.2369,8.47452), (7.54045,9.59538), (5.39139,9.48664), 

(6.26446,1.37914), (7.90379,2.92684), (10.1787,5.2463), (7.9666,4.528), (10.2402,8.47452), (8.01064,9.41856), (5.84459,9.27164), 

(6.71316,1.60393), (8.35076,3.15608), (9.9863,5.09087), (8.43563,4.70824), (10.4961,8.9061), (8.48375,9.58792), (6.31794,9.4383), 

